PLAZA ID,PLAZA NAME,PLAZA TYPE,PLAZA CITY,PLAZA STATE,CONCESSIONAIRE
360020,Pollachi Cochin Toll plaza,National,Coimbatore,Tamil Nadu,L and T
360021,Pollachi Salem Toll plaza,National,Coimbatore,Tamil Nadu,L and T
360024,Neelambur,National,Coimbatore,Tamil Nadu,L and T
360025,Trichy Salem,National,Coimbatore,Tamil Nadu,L and T
360026,Trichy Cochin,National,Coimbatore,Tamil Nadu,L and T
360027,Madukkarai,National,Coimbatore,Tamil Nadu,L and T
360028,SURAPATTU TOLL plaza,National,Tiruvallur,Tamil Nadu,NHAI
360029,Pattarai Toll plaza,National,Tiruvallur,Tamil Nadu,NHAI
360030,Athur,National,Kanchipuram,Tamil Nadu,NHAI
360031,SriPerumbadur,National,Kanchipuram,Tamil Nadu,NHAI
360032,Nallur Toll plaza,National,Tiruvallur,Tamil Nadu,L and T
360033,Chennasamaduram,National,Vellore,Tamil Nadu,NHAI
360034,VANAGARAM TOLL plaza,National,Tiruvallur,Tamil Nadu,NHAI
360036,VAGAIKULAM TOLL plaza,National,Thoothukudi,Tamil Nadu,NHAI
360037,Kappalur,National,Madurai,Tamil Nadu,Raima Toll Road(MEP)
360038,Salaipudur,National,Thoothukudi,Tamil Nadu,Raima Toll Road(MEP)
360039,Nanguneri,National,Tirunelveli,Tamil Nadu,Raima Toll Road(MEP)
360040,Etturvattam,National,Virudhunagar,Tamil Nadu,Raima Toll Road(MEP)
360041,D C Palli,National,Dharmavaram,Tamil Nadu,NHAI
360042,Mathur Toll plaza,National,Madharam,Tamil Nadu,NHAI
360043,Chittampatti,National,Madurai,Tamil Nadu,M/s Eagle Infra India Ltd
360044,Buchireddypalem,National,Nellore,Tamil Nadu,NHAI
360045,Boothakudi,National,Pudukkottai,Tamil Nadu,M/s Eagle Infra India Ltd
360046,Bogalur,National,Ramnathpuram,Tamil Nadu,NHAI
360047,Tirupachethi,National,Sivagangai,Tamil Nadu,NHAI
360048,Palaya Gandharvakottai,National,Palaya Gandharvakottai Village,Tamil Nadu,NHAI
360049,Paranur,National,Kanchipuram,Tamil Nadu,NHAI
360050,Lembalakudi,National,Pudukkottai,Tamil Nadu,NHAI
360051,Lechchumanapatti,National,Pudukkottai,Tamil Nadu,NHAI
360054,Shenbagampettai toll plaza,National,Shenbagampettai Village,Tamil Nadu,NHAI
360057,Perali toll plaza,National,Perambalur,Tamil Nadu,NHAI
360058,Keezhkuppam Toll Plaza,National,Kallakurichi,Tamilnadu,NHAI
360059,Ponnalagaram Toll Plaza,National,Virudhachalam,Tamilnadu,NHAI
360060,Kodikottai Toll Plaza,National,Manjani,Tamil Nadu,MD YOUSUF ALI
360061,Vennathur Toll Plaza,National,Manjani,Tamil Nadu,MD YOUSUF ALI
360062,Kallakudi Toll plaza,National,Kallakudi,Tamil Nadu,KNR Srirangam Infra Pvt Ltd
360064,Upparpatti,National,Upparpatti,Tamil Nadu,NHAI
360065,Vallam Toll Plaza,National,Tiruvannamalai,Tamil Nadu,M/s Jai Kamatanath and Company
360066,Enamkariyandal Toll Plaza,National,Tiruvannamalai,Tamil Nadu,M/s Jai Kamatanath and Company
360067,Thennamadevi Toll Plaza,National,Tiruvannamalai,Tamil Nadu,M/s Jai Kamatanath and Company
360068,Thirupathisaram Toll Plaza,National,Nagercoil,Tamil Nadu,NHAI
367002,Poonarimangalam,National,Ernakulam (Cochin),Kerala,NHAI
367004,Poonarimangalam,National,Ernakulam Cochin,Kerala,NHAI
367005,Kollam Bypass,National,Kollam,Kerala,NHAI
367006,Thiruvallam,National,Thiruvananthapuram,Kerala,NHAI
367007,Paniyankara Toll Plaza,National,Vadakkencherry,Kerala,Thrissur Expresway Ltd
370001,Banskopa Plaza,National,Durgapur,West Bengal,M/s IL
370002,Palsit,National,Bardhaman,West Bengal,NHAI
370003,Dankuni,National,Hooghly,West Bengal,NHAI
370004,Surjapur,National,Uttar Dinajpur,West Bengal,NHAI
370005,Guabari Toll plaza,National,Alipurduar,West Bengal,NHAI
370006,KM 267.250 of NH 60,National,Murshidabad,West Bengal,NHAI
370007,KM 801.120 of NH 31,National,Malda,West Bengal,NHAI
370008,KM 114.430 of NH 117,National,Darjeeling,West Bengal,NHAI
370009,KM 9.640 of NH 2,National,Hooghly,West Bengal,NHAI
370010,KM 74.49 of AH 48,National,Jalpaiguri,West Bengal,NHAI
370011,KM 117.050 of NH 31 C,National,Jalpaiguri,West Bengal,NHAI
370012,KM 14.550 of NH 60 A,National,Bankura,West Bengal,NHAI
370013,Sali Bamandanga,National,Nadia,West Bengal,NHAI
370014,Paschim Madati,National,Darjeeling,West Bengal,NHAI
370015,Balibhasa Toll plaza,National,Balibhasa,West Bengal,NHAI
370016,Ghogarkuthi Fee Plaza,National,Baxirhat,West Bengal,NHAI
370017,Rangalibazna Fee plaza,National,Jaldapara,West Bengal,NHAI
370018,Satbhaiya Fee Plaza,National,Naxalbari,West Bengal,NHAI
370019,Sulkhapara Fee Plaza,National,Chalsa,West Bengal,NHAI
370020,Palsit,National,Bardhaman,West Bengal,NHAI
370021,Dankuni,National,Hooghly,West Bengal,NHAI
370022,Surjapur,National,Uttar Dinajpur,West Bengal,NHAI
370023,Guabari Toll Plaza,National,Alipurduar,West Bengal,NHAI
370024,Namkhana Fee plaza,National,Namkhana Village,West Bengal,NHAI
370025,Mejia,National,Mejia,West Bengal,NHAI
370026,Kalapathar,National,Kalapathar,West Bengal,NHAI
370034,Panikauri,National,New Jalpaiguri,West Bengal,NHAI
370035,Husludanga,National,Jalpaiguri,West Bengal,NHAI
375001,Hasanpur,National,Jaipur - Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED
375002,Kantaghar,National,Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED
375003,Banajodi,National,Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED
375004,Srirampur toll plaza,National,Jajpur,Odisha,NHAI
375005,PANIKOILI TOLL PLAZA,National,Jajpur,Odisha,NHAI
375006,Pipili,National,Pipili,Odisha,NHAI
375007,Brajarajnagar (Nuadeeh),National,Brajarajnagar,Odisha,NHAI
375010,Brajrajnagar Toll plaza,National,Brajrajnagar,Odisha,NHAI
